2026-03-23 04:11:40,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230015-15
2026-03-23 04:13:40,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230015-15
2026-03-23 04:21:44,UP,0.95,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230030-30
2026-03-23 04:23:44,UP,1.20,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230030-30
2026-03-23 04:27:46,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230030-30
2026-03-23 04:29:46,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230030-30
2026-03-23 04:34:48,UP,1.00,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230045-45
2026-03-23 04:36:49,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230045-45
2026-03-23 04:38:49,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230045-45
2026-03-23 04:40:50,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230045-45
2026-03-23 04:42:51,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230045-45
2026-03-23 04:44:52,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230045-45
2026-03-23 04:48:53,UP,1.15,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230100-00
2026-03-23 04:50:54,UP,0.85,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230100-00
2026-03-23 04:52:55,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230100-00
2026-03-23 04:54:55,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230100-00
2026-03-23 04:56:56,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230100-00
2026-03-23 04:58:57,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230100-00
2026-03-23 05:00:57,UP,1.45,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230115-15
2026-03-23 05:02:58,UP,1.55,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230115-15
2026-03-23 05:04:59,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230115-15
2026-03-23 05:06:59,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230115-15
2026-03-23 05:09:00,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230115-15
2026-03-23 05:11:01,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230115-15
2026-03-23 05:13:02,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230115-15
2026-03-23 05:15:03,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230115-15
2026-03-23 05:22:06,DOWN,1.05,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230130-30
2026-03-23 05:59:13,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230200-00
2026-03-23 06:00:14,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230200-00
2026-03-23 06:02:14,DOWN,1.60,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230215-15
2026-03-23 06:03:15,DOWN,1.70,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230215-15
2026-03-24 20:13:22,UP,1.55,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR241615-15
2026-03-24 20:15:23,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR241615-15
2026-03-24 20:19:25,UP,0.85,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR241630-30
2026-03-24 20:21:26,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR241630-30
2026-03-24 20:23:27,UP,2.50,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR241630-30
2026-03-24 20:25:27,UP,2.50,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR241630-30
2026-03-24 20:27:28,UP,2.50,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR241630-30
2026-03-24 20:29:29,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR241630-30
2026-03-24 20:32:41,UP,0.50,PLACED,0.00%,directional|KXBTC15M-26MAR241645-45
2026-03-24 20:41:29,UP,0.50,PLACED,0.00%,directional|KXBTC15M-26MAR241645-45
2026-03-24 20:44:08,UP,0.50,PLACED,0.00%,directional|KXBTC15M-26MAR241645-45
2026-03-24 20:48:11,DOWN,0.50,PLACED,0.00%,directional|KXBTC15M-26MAR241700-00
2026-03-24 21:04:34,UP,0.50,PLACED,0.00%,directional|KXBTC15M-26MAR241715-15
2026-03-24 21:25:45,DOWN,0.50,PLACED,0.00%,directional|KXBTC15M-26MAR241730-30
2026-03-24 21:36:55,UP,0.50,PLACED,0.00%,directional|KXBTC15M-26MAR241745-45
2026-03-24 22:08:12,UP,0.50,PLACED,0.00%,directional|KXBTC15M-26MAR241815-15
2026-03-24 22:18:18,DOWN,0.50,PLACED,0.00%,directional|KXBTC15M-26MAR241830-30
2026-03-24 22:30:24,DOWN,0.50,PLACED,0.00%,directional|KXBTC15M-26MAR241845-45
2026-03-24 23:22:49,UP,0.50,PLACED,0.00%,directional|KXBTC15M-26MAR241930-30
2026-03-24 23:48:02,DOWN,0.50,PLACED,0.00%,directional|KXBTC15M-26MAR242000-00
2026-03-25 00:06:12,UP,0.50,PLACED,0.00%,directional|KXBTC15M-26MAR242015-15
2026-03-25 00:18:19,DOWN,0.50,PLACED,0.00%,directional|KXBTC15M-26MAR242030-30
2026-03-25 00:34:28,UP,0.50,PLACED,0.00%,directional|KXBTC15M-26MAR242045-45
